<entries>
	<entry name="CHARM_DESC_39"> The Central Army sent Sang and singer Halloun to my old home. </entry>
	<entry name="CHARM_DESC_20"> Wizards are used to represent the world around us. Fixed price on enemies and kill them. </entry>
	<entry name="CHARM_DESC_21"> Used to kill wildlife. The enemy of the prize. </entry>
	<entry name="CHARM_DESC_22"> Bring water to the device, including the new one. I follow and don&#39;t eat firewood and wood. </entry>
	<entry name="CHARM_DESC_23"> And improving the quality of the user&#39;s arm, reducing the variety of medical services and ease of use, especially in remote cities </entry>
	<entry name="CHARM_DESC_24"> Diana, you have many places to move and attack the enemy. Wealth and old age are especially versatile and easy. </entry>
	<entry name="CHARM_DESC_25"> noxunro, enemies beat the robbers free. And death recommends consequence and injury and criminal trauma </entry>
	<entry name="CHARM_DESC_26"> Grace, wisdom, and sorrow. Selector Improve nails and speed plan. </entry>
	<entry name="CHARM_DESC_27"> Life is very, very kind, friendly and helpful. Blue blood leads to profound changes in the lake. Customers can return to a healthy environment and CPC. </entry>
	<entry name="CHARM_DESC_28"> View images on server servers. OS is the enemy of new data. </entry>
	<entry name="CHARM_DESC_29"> Over time, treat it, as well as glasses. </entry>
	<entry name="INV_NAME_SPELL_QUAKE2"> Sorry </entry>
	<entry name="BANK_WITHDRAW_AMT"> Is the connection removed? </entry>
	<entry name="SHOP_SALUBRA_BLESSING"> Your special trip here. Did You Know? </entry>
	<entry name="INV_NAME_MAP"> The command is planned </entry>
	<entry name="CHARM_ALERT_NONE_BENCH"> You may want as electricity. </entry>
	<entry name="SHOP_PURCHASE_CONFIRM"> If you can buy something? </entry>
	<entry name="SHOP_DESC_NOTCH_4_NE"> It is beautiful, especially for women like me. 25, as required </entry>
	<entry name="PIN_DESC_TRAM"> The car is very similar to the modern engine. You need to make sure there is no pocket. It must be in the perfect state of being for Say. </entry>
	<entry name="SHOP_DESC_TRINKET1"> Recently, the magazine has been leading us. I only give you that there is no communication. </entry>
	<entry name="CHARM_NAME_13"> K. </entry>
	<entry name="INV_NAME_NAIL4"> Keep your nails safe </entry>
	<entry name="INV_NAME_NAIL5"> Life </entry>
	<entry name="BANK_YOURBALANCE"> Balance </entry>
	<entry name="CHARM_DESC_30"> Gloves rattle. Card and device players can quickly use an attack to attack an enemy. </entry>
	<entry name="CHARM_DESC_31"> Check them all outThis virus is called the &quot;master&quot; image. The customer can, at any time. It should be designed for those who are fasting. </entry>
	<entry name="CHARM_DESC_32"> Starting a nail is very difficult. I was a big Nojo. Anonymous owner </entry>
	<entry name="CHARM_DESC_33"> Electricity Island, with a focus on the needs of users. This is not to reduce the cost of the loan. </entry>
	<entry name="CHARM_DESC_34"> Glass is used for a long time. Prize in natural conditions. The seller was immediately recovered, but there were two main ones. </entry>
	<entry name="CHARM_DESC_35"> Next step, no water needed. Power and strength weapons. There was a vigil, a teacher and a firearm. </entry>
	<entry name="KEY_SPA"> This is the place </entry>
	<entry name="MAP_DESC_OUTSKIRTS"> Kingdoms on a world map. My husband lived and moved in a big city. </entry>
	<entry name="SHOP_SELL_COMPLETE"> Shopping </entry>
	<entry name="SHOP_DESC_NOTCH_1_NE"> It is beautiful, especially for women like me. If you are 5 years old and pretty and I would love her. This is what we have to do </entry>
	<entry name="INV_NAME_QUILL"> General </entry>
	<entry name="CTRL_MARKER_REMOVE"> Come on </entry>
	<entry name="CHARM_NAME_37"> Instructor </entry>
	<entry name="SHOP_DESC_GLASS_ATTACK"> Is he weak? You have to be with me. Let me know if you need it. Increase in strength. Anyone who opposes you will benefit ... </entry>
	<entry name="MAP_NAME_GREENPATH"> The situation </entry>
	<entry name="INV_NAME_ACIDARMOUR"> Mental Health </entry>
	<entry name="SHOP_DESC_TRINKET2"> It is a trademark of aesthetics, king and leader. King and its surroundings, for a long time, but the same rank. I have paid the bill </entry>
	<entry name="CHARM_DESC_25_G"> Training against him is strong. Unfortunately, this is not revenue. </entry>
	<entry name="CHARM_NAME_25"> Good </entry>
	<entry name="INV_NAME_TRINKET3"> King of Idol </entry>
	<entry name="CHARM_DESC_40"> See his involvement in the Guitoman army. G-Gramkin donor and fresh flowers. Based on the teacher. </entry>
	<entry name="INV_DESC_MAPQUILL"> Halloween card. How to replace cards and some new features that you can have? </entry>
	<entry name="INV_NAME_SOULORBS_1"> According to White </entry>
	<entry name="INV_NAME_SOULORBS_2"> K. </entry>
	<entry name="CHARM_ALERT_NONE"> For help with this issue, the film led to the writing. </entry>
	<entry name="INV_NAME_MAPQUILL"> Rather, coal </entry>
	<entry name="CHARM_NAME_40"> The leaders </entry>
	<entry name="CTRL_TRAVEL"> is not </entry>
	<entry name="MARKER_W_NAME"> Carver </entry>
	<entry name="SHOP_DESC_GLASS_HP"> This is very important. Now, I didn&#39;t do that to you! If it continues, if great. You know, afraid of death, you know. </entry>
	<entry name="MAIN_MENU_QUIT_GAME"> Free </entry>
	<entry name="INV_NAME_FLOWER"> Yes, gentlemen </entry>
	<entry name="SHOP_DESC_BLUEHEALTHSMALL"> If you have blue blood of &quot;life water&quot;? Not a single tree but a good feeling? Improve the rules of human offspring! </entry>
	<entry name="CHARM_DESC_37"> If it&#39;s called the &quot;sprint&quot; master virus. This attack and attacker can be prevented and therefore very fast. </entry>
	<entry name="SHOP_DESC_QUICKFOCUS"> The air cherry? Very clean! &quot;I&#39;ve heard,&quot; Lensa assists. If you love, when the magic comes home. </entry>
	<entry name="INV_NAME_WHITEKEY"> Wood </entry>
	<entry name="CHARM_NAME_33"> crouton games </entry>
	<entry name="CHARM_DESC_24_G"> Other household items and things to help you with it. Unfortunately, this is not revenue. </entry>
	<entry name="INV_DESC_KINGSBRAND"> Become a teacher. In the hallIn front of your health </entry>
	<entry name="CHARM_NAME_38"> Dream </entry>
	<entry name="SHOP_DESC_SPELLDMGUP"> Are you a magician? Oh, you should buy this software when writing your terms. Get out of here! </entry>
	<entry name="SHOP_DESC_ENEMYRECOILUP"> the angrontonaton enemy parroned? These exercises will help to reduce your impact. </entry>
	<entry name="CTRL_CANCEL"> Bring it </entry>
	<entry name="SHOP_DESC_NOTCH_4"> Do you need a little bit of motivation? Yes, there is a purchase with a beauty specialist. </entry>
	<entry name="MAP_NAME_CITY"> I&#39;ll call </entry>
	<entry name="INV_NAME_ART_UPPER"> Mineral extraction </entry>
	<entry name="INV_NAME_SOULORBS_0"> K. </entry>
	<entry name="KEY_STAG"> Hereshayay Station </entry>
	<entry name="MAP_NAME_FOG_CANYON"> Tadar </entry>
	<entry name="INV_NAME_NAIL1"> Age </entry>
	<entry name="INV_NAME_NAIL2"> In everything </entry>
	<entry name="INV_NAME_NAIL3"> Comparison of sins </entry>
	<entry name="INV_NAME_DREAMNAIL_A"> Dream of the island </entry>
	<entry name="INV_NAME_DREAMNAIL_B"> Dream of the House </entry>
	<entry name="INV_DESC_DASH"> Made of steel. Inhaling, the floor user enters the air. </entry>
	<entry name="CHARM_DESC_6"> The wrath of those who died in this way means. If he dies, all is bad. </entry>
	<entry name="CHARM_DESC_BROKEN"> Discontinuation of labor and loss of internal power. Private </entry>
	<entry name="INV_NAME_TRINKET2"> A diamond ring </entry>
	<entry name="INV_NAME_DOUBLEJUMP"> Work in your magic kingdom </entry>
	<entry name="INV_NAME_TRINKET4"> Time </entry>
	<entry name="MARKER_R_DESC"> This store adds a new price. You can use the best projects and their programs. You can use the festival by its color. </entry>
	<entry name="PIN_DESC_DREAMPLANT"> Carnifer loudly. I put some needles on. </entry>
	<entry name="INV_DESC_NAIL1"> Numbers of coats and bright clothing. </entry>
	<entry name="INV_DESC_NAIL2"> The guns of the Holocaust were executed. </entry>
	<entry name="INV_DESC_NAIL3"> Armed with this place is absolutely impossible. </entry>
	<entry name="INV_DESC_NAIL4"> Halloween is a powerful tool as well as various people to replace it. </entry>
	<entry name="INV_DESC_NAIL5"> This old manikjuri is best suited for Halloween weapons and is shown on the original sign. </entry>
	<entry name="NOTIFICATION_CHARM_BREAK"> Beautiful </entry>
	<entry name="INV_DESC_LOVEKEY"> Cloth birds, a sign of love. </entry>
	<entry name="PIN_DESC_SPA"> I have a source in the country where we are doing sūzanhoro roofs. Why not give up? I sometimes wonder if it&#39;s such a horrible life. It&#39;s like a PIN with </entry>
	<entry name="PIN_DESC_SHOP"> The secret of travel is to identify good and bad merchants. Testing. I&#39;m sure he didn&#39;t. </entry>
	<entry name="INV_NAME_DASH"> Sheets and planks </entry>
	<entry name="CTRL_CONFIRM"> Good </entry>
	<entry name="INV_DESC_ACIDARMOUR"> The product began to accelerate. There is a firm storm of flies, acid lakes, rocks and corals. </entry>
	<entry name="CHARM_DESC_36_B"> Compare the best “andalandkūhro”. Capital organization, the theme is not repeated. That opens the door for family. </entry>
	<entry name="CHARM_DESC_36_C"> However, unemployment abolition. Charger. It will not disappoint in anything. </entry>
	<entry name="CHARM_NAME_25_G"> Mix </entry>
	<entry name="MAP_DESC_FOG_CANYON"> Maps of the features of the Greenway model will be linked to the mountain. The wind path is hard and difficult. The results are the same </entry>
	<entry name="INV_NAME_ART_CYCLONE"> Abusive </entry>
	<entry name="INV_DESC_SPELL_FIREBALL1"> Protect the enemies of his life and the way to go. It is necessary to defeat this spirit. You will serve enemies to collect. </entry>
	<entry name="INV_DESC_SPELL_FIREBALL2"> Their shadow, but they watched the enemy. You have to beat him. Kju collects to kill enemies. </entry>
	<entry name="SHOP_DESC_SLYEGG"> I found it in this list. Please copy, xaroʙşudaro. Now, why not my day </entry>
	<entry name="MAP_DESC_RESTING_GROUNDS"> It takes time to plan, guide, not have a holiday shop. Carnifer is nice, quiet, but beautiful. What to see </entry>
	<entry name="MAP_DESC_MINES"> This is a wonderful card of the Wonderland, Crystal, Dartmut. My husband, a local map and a crystal miniature. Is this too beautiful? </entry>
	<entry name="INV_DESC_SOULORBS_0"> Its purpose was to create more space for all three boxes of revolution, white dress and inspiration. Three </entry>
	<entry name="INV_DESC_ORE"> Steel equipment. Attack </entry>
	<entry name="INV_DESC_SOULORBS_2"> Made in material other than wood, this is a fantasy. It can be long and hot. </entry>
	<entry name="PIN_NAME_COCOON"> Kyoto station </entry>
	<entry name="SHOP_DESC_NOTCH_2"> Do you need a little bit of motivation? Yes, beauty professionals will immediately come to your door when you buy </entry>
	<entry name="CHARM_DESC_25_BROKEN"> Training against him is strong. Feelings cannot stand and internal forces. Private </entry>
	<entry name="SHOP_DESC_QUILL"> You can change the function to use. Good to all of the project participants. </entry>
	<entry name="CHARM_DESC_24_BROKEN"> Find the enemy leader and defeat him. The shooting began, my energy disappeared. Private </entry>
	<entry name="PIN_DESC_BENCH"> This is demonstrated through floor plans and floor plans. Get tired and this is helpful if you need it! </entry>
	<entry name="CHARM_NAME_36_A"> White stone </entry>
	<entry name="CHARM_NAME_36_B"> sam Years </entry>
	<entry name="CHARM_NAME_36_C"> It is a lie </entry>
	<entry name="MAP_NAME_WATERWAYS"> Real Camino </entry>
	<entry name="INV_DESC_SOULORBS_NONE"/>
	<entry name="INV_NAME_SPELL_FIREBALL1"> I am an organizer </entry>
	<entry name="INV_NAME_SPELL_FIREBALL2"> Good injury </entry>
	<entry name="OPT_MENU_TITLE"> Volunteer </entry>
	<entry name="OPT_MENU_APPLY_BUTTON"> Make a call </entry>
	<entry name="PIN_NAME_SPA"> Red box </entry>
	<entry name="ASCEND"> In this </entry>
	<entry name="INV_NAME_SOULORBS_NONE"/>
	<entry name="MAP_NAME_MINES"> Above </entry>
	<entry name="MAP_DESC_WATERWAYS"> Map of the city pool, pipes and other housing. Carnifer loves a particular area, but hard to recover. </entry>
	<entry name="INV_NAME_TRINKET1"> Help </entry>
	<entry name="INV_NAME_SPELL_FOCUS"> Home </entry>
	<entry name="INV_DESC_SHADOWDASH"> Deep Logos. On it harm the enemy and should not. </entry>
	<entry name="INV_DESC_HEARTPIECE_3"> The gums come and the goal is to prevent the wound. In the meantime, to prevent damage to the cahorcūʙro building. </entry>
	<entry name="MARKER_B_NAME"> Deluxe&#39;s mission </entry>
	<entry name="MAP_NAME_CLIFFS"> Walking </entry>
	<entry name="CHARM_NAME_24_G"> Good </entry>
	<entry name="SHOP_DESC_LONGNAIL"> Great! But what if you think about it? Yes, there is a need to go between the beauty of the home and the go, but the enemies must be scattered </entry>
	<entry name="SHOP_DESC_SOULORBS_1"> What is appealing to fans of search? I don&#39;t think about it, but it&#39;s hard. That&#39;s why I give you credit </entry>
	<entry name="INV_NAME_SPELL_SCREAM1"> View </entry>
	<entry name="CHARMS_REMAINING"> Great! </entry>
	<entry name="SHOP_NAME_SALUBRA"> Real estate </entry>
	<entry name="CHARM_NAME_1"> Entrance </entry>
	<entry name="CHARM_NAME_2"> This choice is absurd </entry>
	<entry name="CHARM_NAME_3"> Very funny </entry>
	<entry name="CHARM_NAME_4"> Personality </entry>
	<entry name="CHARM_NAME_5"> I am white </entry>
	<entry name="CHARM_NAME_6"> K. </entry>
	<entry name="CHARM_NAME_7"> Home </entry>
	<entry name="CHARM_NAME_8"> How to live </entry>
	<entry name="CTRL_MARKERS"> These passwords </entry>
	<entry name="INV_DESC_DREAMNAIL_A"> The dream of creating a framework agreement is bright. It opens the door and can be used to show something hidden. ReasonYour dreams and hopes are gone. </entry>
	<entry name="INV_DESC_DREAMNAIL_B"> The dream of creating a framework agreement is bright. Finding hidden dreams is used as an animal. The keys to secure change. </entry>
	<entry name="MAP_NAME_ABYSS"> Not published </entry>
	<entry name="INV_DESC_DOUBLEJUMP"> At night, nuclear attacks are obvious. Let it fly in the air </entry>
	<entry name="INV_DESC_SUPERDASH"> Old glass. In the summer to prevent damage to the glass with the skin on the skin. </entry>
	<entry name="INV_NAME_JOURNAL"> pistol </entry>
	<entry name="CHARM_DESC_40_F"> . Live in red hands </entry>
	<entry name="INV_DESC_SIMPLEKEY"> It is very easy and done with a small building. So, remove it as soon as possible. </entry>
	<entry name="KEY_GHOST"> Gift Certificate </entry>
	<entry name="INV_DESC_LANTERN"> Glass lamps perforalī. The text manager is too dark. </entry>
	<entry name="CHARM_DESC_40_N"> I think it&#39;s wrong to have friends. Kamaree Lawyers by Category </entry>
	<entry name="INV_NAME_SOULORBS_ALL"> Father </entry>
	<entry name="MAP_DESC_CLIFFS"> Look at the map of Dortmund peaks. Carnifer has very little air. I have a question ... why not talk to me? </entry>
	<entry name="SHOP_DESC_HEARTPIECE_2"> I see others. It is completely different. One of the reasons for his death was his death. The cost of money! </entry>
	<entry name="SHOP_DESC_HEARTPIECE_3"> Fortunately, our company is so valuable. </entry>
	<entry name="SHOP_DESC_HEARTPIECE_4"> As a result, this is one of the maps. Finally! First, of course, prices for different reviews. </entry>
	<entry name="CTRL_HIDE_PINS"> Hide the label </entry>
	<entry name="INV_DESC_TRAM_PASS"> After that, the brothers are hanging out with Halloween. In this regard, commonplace and king approves all purchases. </entry>
	<entry name="SHOP_SELL_CONFIRM"> If you can buy something? </entry>
	<entry name="INV_NAME_HEARTPIECE_ALL"> The nurse </entry>
	<entry name="BANK_DEPOSIT_AMT"> How much is the debt? </entry>
	<entry name="PIN_NAME_SHOP"> The seller </entry>
	<entry name="MAP_DESC_GREENPATH"> Map of the Valley, Greenway. Sue in town! </entry>
	<entry name="PIN_NAME_TRAM"> Fanny Tram </entry>
	<entry name="MAP_UPDATED"> National plan </entry>
	<entry name="MAP_NAME_OUTSKIRTS"> K. </entry>
	<entry name="INV_DESC_ART_CYCLONE"> Examples of different competitive nails Moto. </entry>
	<entry name="SHOP_DESC_NORECOIL"> I like the simple thing about this little game. Great! This material is made of high quality materials. Beleaguer noxunhojatonro with them. </entry>
	<entry name="OPT_MENU_BACK_BUTTON"> Security, etc. </entry>
	<entry name="INV_DESC_HEARTPIECE_0"> The last burial was designed to prevent injuries. </entry>
	<entry name="CHARM_NAME_40_N"> Peach with peaches </entry>
	<entry name="BANK_MAX_BALANCE"> Weight Loss: </entry>
	<entry name="INV_NAME_LOVEKEY"> The key is love </entry>
	<entry name="LANGUAGE_CONFIRM"> Or are we? </entry>
	<entry name="SHOP_DESC_GLASS_GEO_BRK"> Forestry Energy. What a pity! I love you </entry>
	<entry name="MARKER_B_DESC"> This store adds a new price. You can use the best projects and their programs. Does it look like skin? </entry>
	<entry name="KEY_COCOON"> The crown </entry>
	<entry name="CTRL_BUY"> Shopping </entry>
	<entry name="SHOP_DESC_NOTCH_2_NE"> It is beautiful, especially for women like me. 10 If you are beautiful, thank you very much. This is what we have to do </entry>
	<entry name="KEY_BENCH"> K. </entry>
	<entry name="INV_NAME_HEARTPIECE_NONE"/>
	<entry name="INV_DESC_RANCIDEGG"> The plants are unknown. Cook until the bones are broken and not considered clean. </entry>
	<entry Name="INV_NAME_STOREKEY"> Lock key = </entry>
	<entry name="MAP_NAME_FUNGAL_WASTES"> Infected food </entry>
	<entry name="MARKER_W_DESC"> This store adds a new price. You can use the best projects and their programs. This is a very low cost product and therefore rarely used. </entry>
	<entry name="CHARM_TXT_COLLECTION"> So, download </entry>
	<entry name="OPT_MENU_RESOLUTION"> Stages: </entry>
	<entry name="MARKER_Y_NAME"> The car is clean </entry>
	<entry name="INV_NAME_NOTCH"> Oven </entry>
	<entry name="INV_DESC_ART_DASH"> Nile cliffs. We must learn to destroy the enemy. </entry>
	<entry name="CHARM_NAME_23_G"> You can never live </entry>
	<entry name="INV_DESC_SPELL_FOCUS"> Obey the acquisition of the SOULro box. Kill the enemies in your collection. </entry>
	<entry name="INV_NAME_HEARTPIECE_0"> Live </entry>
	<entry name="INV_NAME_HEARTPIECE_1"> Live </entry>
	<entry name="INV_NAME_HEARTPIECE_2"> Live </entry>
	<entry name="INV_DESC_DREAMGATE"> The Dream Television Showcase, lets you screen. pareşonii Dream 1 gate, confidence and survival to Dream. In some communities you can&#39;t sleep well and can&#39;t afford to dream. </entry>
	<entry name="MAP_NAME_DIRTMOUTH"> Handball </entry>
	<entry name="OPT_MENU_SOUND_VOL"> Other: </entry>
	<entry name="INV_NAME_SPELL_SCREAM2"> Circus Aʙigail </entry>
	<entry name="KEY_BLACKEGG"> The effect of the Temple </entry>
	<entry name="MAP_DESC_CITY"> Map of the city, gallonies. Level in town? Very beautiful </entry>
	<entry name="SHOP_DESC_NOTCH_3_NE"> It is beautiful, especially for women like me. These are the things that make you beautiful. This is what we have to do </entry>
	<entry name="SHOP_DESC_STALWARTSHELL"> In the Holocaust Live the tool can be difficult and changeable. These abuse fertilizers, you need more time to recover. This is a situation that is still difficult. </entry>
	<entry name="SHOP_DESC_HEARTPIECE_1"> It depends on many places before using it. </entry>
	<entry name="INV_NAME_LANTERN"> Laughley Tahiti </entry>
	<entry name="MARKER_Y_DESC"> This store adds a new price. You can use the best projects and their programs. The treasures that were seen on their land and corrupted the skin. </entry>
	<entry name="NAME_HUNTERMARK"> reference </entry>
	<entry name="MAIN_MENU_OPTIONS"> Volunteer </entry>
	<entry name="INV_DESC_SOULORBS_1"> Maintaining a sense of body. In addition, two or two buttons. </entry>
	<entry name="INV_DESC_CITYKEY"> Behind the drilling hole of the Holocaust Pavilion. </entry>
	<entry name="INV_DESC_HEARTPIECE_1"> In fact, an elegant type for injury prevention. </entry>
	<entry name="INV_DESC_HEARTPIECE_2"> The gums come and the goal is to prevent the wound. Steps to strengthen the preservation and harvesting framework. </entry>
	<entry name="CHARM_NAME_10"> Buyer </entry>
	<entry name="CHARM_NAME_11"> i </entry>
	<entry name="CHARM_NAME_12"> Tears </entry>
	<entry name="CHARM_DESC_1"> Sumkaho and animals follow, and no one is free. For those of you who can use it. </entry>
	<entry name="CHARM_NAME_14"> You are the fifth </entry>
	<entry name="CHARM_NAME_15"> Loss of power </entry>
	<entry name="CHARM_NAME_16"> Railway Theater </entry>
	<entry name="CHARM_NAME_17"> A beautiful place </entry>
	<entry name="CHARM_NAME_18"> Karen </entry>
	<entry name="CHARM_NAME_19"> Heat </entry>
	<entry name="CHARM_DESC_8"> In a difficult situation? </entry>
	<entry name="CHARM_DESC_9"> High blood pressure is essential for a healthy lifestyle. At the same time, to prevent damage to the truck in the blood. </entry>
	<entry name="SHOP_DESC_SPRINTMASTER"> I think it can be used together. If you are young, you might think </entry>
	<entry name="CTRL_SELL"> The same </entry>
	<entry name="CHARM_DESC_23_G"> Better sound and reduce healthFortunately, it&#39;s not income. </entry>
	<entry name="CHARM_NAME_9"> Eye </entry>
	<entry name="KEY_TRAM"> Meeting </entry>
	<entry name="INV_DESC_FLOWER"> Holidays at Mount Gray. You will be asked to see your favorite garden in the garden. In this way, the weak and the argument that weak. </entry>
	<entry name="CHARM_NAME_39"> Weavers </entry>
	<entry name="SHOP_PURCHASE_COMPLETE"> Shopping </entry>
	<entry name="MAP_DESC_DEEPNEST"> List of dangerous parts of the world on maps. When my husband and I exceeded our expectations and the plan is so dangerous! View </entry>
	<entry name="PANE_INVENTORY"> Finally </entry>
	<entry name="TRAVEL"> The same </entry>
	<entry name="BANK_EXIT"> Too many </entry>
	<entry name="CHARM_NAME_20"> Wow </entry>
	<entry name="CHARM_NAME_21"> Food </entry>
	<entry name="CHARM_NAME_22"> Sign on the port </entry>
	<entry name="CHARM_NAME_23"> A broken heart </entry>
	<entry name="CHARM_NAME_24"> Good work </entry>
	<entry name="INV_NAME_FLOWER_BROKEN"> Delicious flower </entry>
	<entry name="CHARM_NAME_26"> Although a teacher </entry>
	<entry name="CHARM_NAME_27"> High School </entry>
	<entry name="CHARM_NAME_28"> For example, </entry>
	<entry name="CHARM_NAME_29"> Balances </entry>
	<entry name="MAP_DESC_ABYSS"> They were buried under an old map </entry>
	<entry name="KEY_SHOP"> The seller </entry>
	<entry name="MAP_DESC_ROYAL_GARDENS"> Near the royal palace green card of the royal palace. I&#39;m angry </entry>
	<entry name="MAP_NAME_ROYAL_GARDENS"> Queen of the Garden </entry>
	<entry name="KEY_DREAMER"> On Earth </entry>
	<entry name="PIN_DESC_GHOST"> Carnifer&#39;s tombs are the old places below, in search of your favorite. You can use the cards shown on the map graves. Go straight to debt. </entry>
	<entry name="CTRL_EQUIP"> Asphalt </entry>
	<entry name="COMPLETION_RATE_UNLOCKED"> This is a year of hiatus </entry>
	<entry name="PIN_NAME_BENCH"> Hi </entry>
	<entry name="CHARM_TXT_EQUIPPED"> She&#39;s alone </entry>
	<entry name="MAP_DESC_FUNGAL_WASTES"> Eventually, a bright container of zanʙurʙxhro split it into pieces. Cooked mushrooms. Magic is a mystery! </entry>
	<entry name="CHARM_NAME_30"> In the desert </entry>
	<entry name="CHARM_NAME_31"> The solution is </entry>
	<entry name="CHARM_NAME_32"> the letter </entry>
	<entry name="INV_NAME_ART_DASH"> That&#39;s a good thing </entry>
	<entry name="CHARM_NAME_34"> Result </entry>
	<entry name="CHARM_NAME_35"> K. </entry>
	<entry name="BANK_WITHDRAW"> This is the course of wisdom </entry>
	<entry name="SHOP_DESC_GLASS_HP_BRK"> Forestry Energy. What a pity! I love you </entry>
	<entry name="SHOP_DESC_GLASS_GEO"> How important and exciting it is! Need more information on Geo? You have to be interesting and use it. He made me </entry>
	<entry name="SHOP_SALUBRA_BLESSING_NE"> It is beautiful, especially for women like me. 40 Very good. This is what we have to do </entry>
	<entry name="CHARM_TXT_NOTCHCOST"> Index published </entry>
	<entry name="INV_DESC_SOULORBS_ALL"> Respiratory function and iron devices. </entry>
